ID;Dimensão;Subdimensão;Rubrica nome;Rubrica numero;Faixa de pontuação (intervalo de pontuação);Pontos fortes;O que fazer para avançar;Necessidades formativas
1;Dimensão pedagógica;Planejamento pedagógico;Sensibilização – Nível Consolidar;1;"0-9 pontos / Consolidar: 0-5; Avançar: 6-9";Muito bem! Você já reconhece a importância do planejamento pedagógico e demonstra compromisso em viabilizar momentos e espaços para que ele aconteça. Está no caminho certo para desenvolver práticas fundamentais na gestão do planejamento escolar.;"Antes de avançar, é necessário consolidar este nível. Para isso, será essencial estar preparado(a) para compreender mais profundamente o planejamento pedagógico, assegurar condições básicas para que os professores realizem seu planejamento e organizar rotinas e um calendário de planejamento ao longo do ano. Também será importante conhecer os fundamentos básicos da recomposição de aprendizagens. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  
";"1.	Conceitos básicos de planejamento pedagógico
1.1	O que o planejamento pedagógico e qual é sua importância?
1.2	O que contempla um planejamento pedagógico de qualidade? (pode incluir roteiros, exemplos etc.)

2.	Etapas e calendário de planejamento
2.1	Quais são as etapas do ciclo de planejamento? 
2.2	Como elaborar um calendário e instituir rotinas de planejamento coletivo e individual ao longo do ano? (pode incluir ferramentas) 

3.	Fundamentos conceituais e normativos da recomposição de aprendizagens
3.1 Definição da recomposição das aprendizagens e sua diferença em relação à recuperação escolar.
3.3 Marco legal e normativo: Pacto Nacional pela Recomposição das Aprendizagens (MEC), diretrizes do CNE e normativas estaduais e municipais."
2;Dimensão pedagógica;Planejamento pedagógico;Sensibilização – Nível Avançar;1;"0-9 pontos / Consolidar: 0-5; Avançar: 6-9";Muito bem! Você já reconhece a importância do planejamento pedagógico e se sente preparado(a) para viabilizar momentos e espaços para sua realização. Você se percebe preparado(a) para assegurar que os professores elaborem e implementem suas propostas, evidenciando compromisso com o processo de planejamento pedagógico na escola.;Para avançar, será necessário estar preparado(a) para assumir um papel mais ativo de mediação, promovendo um planejamento pedagógico mais integrado e colaborativo, que dialogue com diagnósticos e objetivos institucionais, inclusive no que se refere à recomposição de aprendizagens. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"1.	Diagnóstico escolar para embasar o planejamento pedagógico
a.	O que deve estar contemplado no diagnóstico para o planejamento? (diferença do diagnóstico mais amplo para PPP) 
b.	Diagnóstico das necessidades dos estudantes (relação com o conhecimento escolar e níveis de aprendizagem)?
c.	Uso de avaliações externas e internas para diagnosticar a necessidade de recomposição das aprendizagens


2.	Definição de objetivos de aprendizagem a partir dos parâmetros curriculares e diagnóstico da escola
a.	Conhecimento dos parâmetros curriculares nacionais e locais (BNCC, currículo priorizado para recomposição de aprendizagens)
b.	Definição de objetivos de aprendizagem para o ano e desdobramento por bimestre/trimestre, a partir do estudo das diretrizes externas e da proposta e diagnóstico da escola, incluindo diretrizes sobre recomposição de aprendizagens.  

3.	Organização e mediação das reuniões de planejamento 
a.	Como organizar e facilitar reuniões de planejamento (participantes, objetivos, metodologias etc.)?"
3;Dimensão pedagógica;Planejamento pedagógico;Exploração – Nível Consolidar;2;"10 a 21 pontos / Consolidar: 10-16; Avançar: 17-21";Ótimo! Você já se sente preparado(a) para assumir um papel ativo na mediação do planejamento pedagógico e para começar a alinhar esse processo às diretrizes institucionais e políticas educacionais. ;Antes de avançar, será necessário fortalecer sua preparação para usar dados de aprendizagem dos estudantes de forma mais consistente como base para o planejamento pedagógico, inclusive para planejar ações de recomposição das aprendizagens. Além disso, será importante consolidar sua capacidade de mediar discussões com os professores sobre o alinhamento pedagógico. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"1.	Diagnóstico escolar para embasar o planejamento pedagógico
a.	O que deve estar contemplado no diagnóstico para o planejamento? (diferença do diagnóstico mais amplo para PPP) 
b.	Diagnóstico das necessidades dos estudantes (relação com o conhecimento escolar e níveis de aprendizagem)?
c.	Uso de avaliações externas e internas para diagnosticar a necessidade de recomposição das aprendizagens


2. Definição de objetivos de aprendizagem a partir dos parâmetros curriculares e diagnóstico da escola
a.	Conhecimento dos parâmetros curriculares nacionais (BNCC, currículo priorizado para recomposição de aprendizagens))
b.	Definição de objetivos de aprendizagem para o ano e desdobramento por bimestre/trimestre, a partir do estudo das diretrizes externas e da proposta e diagnóstico da escola incluindo diretrizes sobre recomposição de aprendizagens.  

3.Organização e mediação das reuniões de planejamento 
a.	Como organizar e facilitar reuniões de planejamento (participantes, objetivos, metodologias etc.)?"
4;Dimensão pedagógica;Planejamento pedagógico;Exploração – Nível Avançar;2;"10 a 21 pontos / Consolidar: 10-16; Avançar: 17-21";Parabéns! Você já se sente preparado(a) para desempenhar um papel ativo na mediação do planejamento pedagógico, garantindo que ele seja baseado em um diagnóstico de aprendizagem dos estudantes. Você se percebe preparado(a) para promover discussões importantes sobre o alinhamento do planejamento com as políticas educacionais e a proposta pedagógica da escola, além de monitorar se as ações estão sendo implementadas conforme planejado. ;Para avançar, será fundamental estar preparado(a) para ampliar o escopo do diagnóstico, estruturar melhor as rotinas de monitoramento e replanejamento e fornecer apoio consistente aos professores, com diretrizes claras sobre o que deve conter no planejamento e devolutivas construtivas. Isso inclui estar preparado para continuamente avaliar e revisar as estratégias de recomposição das aprendizagens. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"1.	Diagnóstico escolar para embasar o planejamento pedagógico
a.	Diagnóstico das práticas de ensino dos professores (sua capacidade de transpor os parâmetros curriculares em práticas efetivas de ensino e aprendizagem)

2.	Planejamento das ações, responsáveis e recursos necessários
a.	Conhecimento de estratégias didático-metodológicas para aprendizagem mais efetiva (metodologias ativas, aprendizagem por projetos, práticas de diferenciação e personalização do ensino) 
b.	Elaboração de diretrizes para o planejamento macro das ações e para o seu desdobramento progressivo em planos de aula detalhados 
c.	Conhecimento de estratégias específicas de recomposição das aprendizagens e diretrizes para sua integração ao planejamento pedagógico. 

3.	Suporte e devolutiva aos professores
a.	Avaliação e devolutiva técnico/crítica do planejamento pedagógico dos professores (critérios de qualidade, roteiros de análise e devolutiva, técnicas de feedback do gestor e entre pares).

4.	Monitoramento, avaliação e replanejamento
a.	Monitoramento e avaliação dos resultados de aprendizagem e replanejamento
b.	Monitoramento da implementação das ações recomposição das aprendizagens e avaliação dos resultados"
5;Dimensão pedagógica;Planejamento pedagógico;Liderança Estratégica – Nível Consolidar;3;"22 a 36/ Consolidar: 22-30; Avançar: 31 a 36";Parabéns! Você já se sente preparado(a) para liderar o processo de planejamento pedagógico de forma consistente e estruturada, buscando o alinhamento entre o diagnóstico, a proposta da escola e as diretrizes externas. ;Antes de avançar, será necessário fortalecer seu preparo para realizar diagnósticos das práticas pedagógicas dos professores e utilizá-los para embasar os objetivos e estratégias planejadas, incluindo as de recomposição das aprendizagens. Também será importante consolidar sua capacidade de orientar tecnicamente o planejamento, tornando as devolutivas aos professores mais consistentes e garantindo um acompanhamento sistemático dos resultados e seu uso no replanejamento. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"1.	Diagnóstico escolar para embasar o planejamento pedagógico
a.	Diagnóstico das práticas de ensino dos professores (sua capacidade de transpor os parâmetros curriculares em práticas efetivas de ensino e aprendizagem)

2.	Planejamento das ações, responsáveis e recursos necessários
a.	Conhecimento de estratégias didático-metodológicas para aprendizagem mais efetiva (metodologias ativas, aprendizagem por projetos, práticas de diferenciação e personalização do ensino) 
b.	Elaboração de diretrizes para o planejamento macro das ações e para o seu desdobramento progressivo em planos de aula detalhados 
c.	Conhecimento de estratégias específicas de recomposição das aprendizagens e diretrizes para sua integração ao planejamento pedagógico. 


3.	Suporte e devolutiva aos professores
a.	Avaliação e devolutiva técnico/crítica do planejamento pedagógico dos professores (critérios de qualidade, roteiros de análise e devolutiva, técnicas de feedback do gestor e entre pares).

4.	Monitoramento, avaliação e replanejamento
a.	Monitoramento e avaliação dos resultados de aprendizagem e replanejamento
b.	Monitoramento da implementação das ações recomposição das aprendizagens e avaliação dos resultados"
6;Dimensão pedagógica;Planejamento pedagógico;Liderança Estratégica – Nível Avançar;3;"22 a 36/ Consolidar: 22-30; Avançar: 31 a 36";Excelente trabalho! Você já se sente preparado(a) para liderar o planejamento pedagógico de forma consistente e estruturada, conectando o diagnóstico da aprendizagem e do ensino a objetivos e estratégias claras. Você se percebe preparado para assegurar o alinhamento com o PPP, a BNCC e outras políticas educacionais. Além disso, você se avalia capacitado(a) para instituir calendários e rotinas bem definidas para a elaboração, desdobramento e revisão do planejamento, fornecendo suporte técnico e devolutivas construtivas à equipe.;Para avançar, será necessário fortalecer o preparo para promover a autonomia da equipe e consolidar a interdisciplinaridade e a inovação como práticas autossustentáveis e sistemáticas, incluindo a incorporação da recomposição das aprendizagens como parte da cultura de planejamento da escola. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"1.	Interdisciplinariedade e práticas integradoras 
a.	O que é a interdisplinariedade?
b.	Práticas de promoção da interdisciplinariedade no planejamento coletivo.

2.	Engajamento da comunidade e comunicação
a.	Participação dos estudantes no planejamento pedagógico 
b.	Papel das famílias e participação no planejamento pedagógico
c.	Comunicação eficaz do planejamento para a comunidade escolar

3.	Distribuição da liderança e criação de uma cultura sustentável
a.	Distribuição da liderança, definição de papeis, orientação e acompanhamento da equipe durante o processo de planejamento

4.	Sensibilização e mobilização para recomposição das aprendizagens
a.	Comunicar a estudantes e famílias o que é recomposição e sua importância, diferenciando-a da recuperação escolar, sensibilizando a comunidade sobre a necessidade de abordar defasagens de anos anteriores sem estigmatizar os estudantes.
b.	Como engajar toda a equipe escolar na corresponsabilidade pela recomposição (por exemplo, garantindo que não seja vista apenas como uma tarefa do professor de reforço.)"
7;Dimensão pedagógica;Planejamento pedagógico;Transformação cultural – Nível Consolidar;4;37 a 51 pontos/ Consolidar: 37-51;Fantástico! Você já se sente preparado(a) para promover uma cultura escolar em que o planejamento pedagógico seja consistente, colaborativo, contínuo e sustentável. Você se percebe preparado para integrar os objetivos e estratégias pedagógicas com o diagnóstico da escola e as políticas educacionais, fortalecendo a interdisciplinaridade e a inovação. Além disso, você se avalia capacitado(a) para envolver professores, estudantes, famílias e demais atores escolares, criando um ambiente de engajamento e autonomia coletiva. ;Embora este nível reflita uma atuação exemplar, é importante assegurar que as práticas sustentáveis e inovadoras continuem evoluindo em resposta às novas demandas educacionais e que a cultura escolar permaneça adaptável e aberta a mudanças futuras. O foco na distribuição da liderança e na criação de capacidade e autonomia da equipe continuará sendo fundamental nesse processo. Da mesma forma, continuará sendo importante a incorporação da recomposição das aprendizagens como parte da cultura de planejamento da escola. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"
1.	Interdisciplinariedade e práticas integradoras 
a.	O que é a interdisplinariedade?
b.	Práticas de promoção da interdisciplinariedade no planejamento coletivo.
2.	Engajamento da comunidade e comunicação
a.	Participação dos estudantes no planejamento pedagógico 
b.	Papel das famílias e participação no planejamento pedagógico
c.	Comunicação eficaz do planejamento para a comunidade escolar

3.	Distribuição da liderança e criação de uma cultura sustentável
a.	Distribuição da liderança, definição de papeis, orientação e acompanhamento da equipe durante o processo de planejamento

4. Sensibilização e mobilização para recomposição das aprendizagens
c.	Comunicar a estudantes e famílias o que é recomposição e sua importância, diferenciando-a da recuperação escolar, sensibilizando a comunidade sobre a necessidade de abordar defasagens de anos anteriores sem estigmatizar os estudantes.
d.	Como engajar toda a equipe escolar na corresponsabilidade pela recomposição (por exemplo, garantindo que não seja vista apenas como uma tarefa do professor de reforço.)"
8;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Sensibilização – Nível Consolidar;1;0-6 (Consolidar: 0-3);Muito bem! Você já reconhece a importância de garantir a implementação dos processos de ensino e aprendizagem no dia a dia e está no caminho certo para consolidar práticas fundamentais nessa área.;Antes de avançar, é preciso consolidar este nível. Para isso, será necessário fortalecer seus conhecimentos sobre conceitos básicos relacionados à implementação do ensino e práticas que assegurem o funcionamento mínimo das aulas. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Cumprimento e ajustes no calendário e grade horária: 
o	O que é a grade horária e o calendário escolar, diretrizes legais e importância na organização da escola?
o	Ferramentas para organizar, ajustar e monitorar cumprimento do calendário e grade horária (pode incluir uso de softwares ou planilhas para monitorar e adaptar horários)

Monitoramento da frequência e mitigação de ausências: 
o	O que é e qual a importância do monitoramento da frequência dos professores.
Gerenciamento de recursos: 
o	Como identificar as necessidades básicas de recursos para o funcionamento diário da escola (Mapeamento de materiais, espaços e equipamentos necessários para o ensino no dia a dia para fins da gestão dos recursos) 
Proteção do tempo pedagógico: 
o	O que é o tempo pedagógico e como ele impacta a aprendizagem.
o	Identificação das principais interrupções no tempo pedagógico."
9;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Sensibilização – Nível Avançar;1;0-6 (Avançar: 4-6);Parabéns! Você já se sente preparado(a) para organizar a escola de forma a cumprir o calendário escolar e assegurar a realização das aulas conforme o planejado. Além disso, você se sente preparado(a) para atuar em situações emergenciais, organizando espaços, materiais e recursos para atender a demandas imediatas. Seu compromisso com a implementação do ensino demonstra uma base sólida para avançar.;Para avançar, será importante desenvolver maior preparo para processos mais consistentes de monitoramento e planejamento. Isso inclui se preparar para monitorar regularmente a frequência e assiduidade do corpo docente, antecipar soluções para ausências e planejar e distribuir recursos de forma mais eficiente. Também será essencial fortalecer sua capacidade de promover discussões mais frequentes e estruturadas sobre os desafios e sucessos da implementação do ensino, além de trabalhar na proteção do tempo pedagógico. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Cumprimento e ajustes no calendário e grade horária: 
o	Como lidar com situações emergenciais que impactam o calendário escolar e a grade horária e planejar para necessidades recorrentes.

Monitoramento da frequência e mitigação de ausências: 
o	Ferramentas básicas para monitorar a frequência dos professores regularmente.
o	Como monitorar, registrar e planejar estratégias de reposição.


Gerenciamento de recursos: 
o	Planejamento antecipado e alocação de recursos: Como prever demandas e evitar problemas logísticos."
10;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Exploração – Nível Consolidar;2;7-15 (Consolidar: 7-11);Ótimo trabalho! Você já se sente preparado(a) para planejar e antecipar soluções para problemas recorrentes, criando estratégias para organizar os processos de implementação do ensino;Antes de avançar, será necessário desenvolver maior preparo para lidar com estratégias mais complexas e começar a sistematizar as ações realizadas. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Cumprimento e ajustes no calendário e grade horária: 
o	Como lidar com situações emergenciais que impactam o calendário escolar e a grade horária e planejar para necessidades recorrentes.

Monitoramento da frequência e mitigação de ausências: 
o	Ferramentas básicas para monitorar a frequência dos professores regularmente.
o	Como monitorar, registrar e planejar estratégias de reposição.


Gerenciamento de recursos: 
o	Planejamento antecipado e alocação de recursos: Como prever demandas e evitar problemas logísticos."
11;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Exploração – Nível Avançar;2;7-15 (Avançar: 11-15);Muito bem! Você já se sente preparado(a) para implementar processos regulares que permitem ajustar a grade horária e o calendário escolar conforme necessário. Você também se sente preparado(a) para monitorar a frequência dos professores, planejar a distribuição de recursos de forma antecipada e promover discussões regulares com os professores sobre problemas e sucessos da implementação do ensino. Além disso, você se percebe capacitado trabalhar de forma ativa na proteção do tempo pedagógico.;Antes de avançar, será importante consolidar seu preparo para implementar processos de monitoramento e planejamento sistemáticos, além de fortalecer o envolvimento da equipe. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"
Monitoramento da frequência e mitigação de ausências: 
o	Criação de sistemas regulares e sistemáticas de monitoramento da frequência docente.
o	Análise de padrões de ausência dos professores: Identificando e abordando causas frequentes de faltas (exemplo: saúde, clima, etc.).
o	Planejamento estratégico de soluções (dentro da alçada da escola) para minimizar ausências e mitigar seus efeitos
o	Comunicação e articulação: Envolvendo professores e a equipe no planejamento para reduzir impactos das ausências.
o	Acionamento de instâncias superiores: Como reportar faltas recorrentes, demandas por professores ou outras situações que exigem intervenção externa.

Gerenciamento de recursos: 
o	Monitoramento de uso de recursos: Ferramentas para gerenciar e monitorar o uso dos materiais didáticos e espaços escolares.
o	Acionamento de instâncias superiores: Como requisitar materiais, resolver problemas estruturais ou reportar falhas que dependem da rede de ensino.


Proteção do tempo pedagógico: 
o	Como implementar estratégias sistemáticas e regulares para proteger o tempo pedagógico (minimizar interrupções no tempo de ensino)

Coordenação de Discussões Estruturadas com Professores:
o	Como coordenar discussões estruturadas com os professores para identificar problemas e sucessos no processo de implementação do ensino?
o	Como propor e implementar soluções rápidas para os desafios identificados nessas discussões?"
12;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Liderança Estratégica – Nível Consolidar;3;16-30 (Consolidar: 16-23);Parabéns! Você já se sente preparado(a) para liderar os processos de implementação do ensino de maneira estruturada, utilizando estratégias consistentes para assegurar a continuidade das aulas.;Antes de avançar, será importante consolidar seu preparo para implementar processos de monitoramento e planejamento sistemáticos, além de fortalecer o envolvimento da equipe.;"Monitoramento da frequência e mitigação de ausências: 
o	Criação de sistemas regulares e sistemáticas de monitoramento da frequência docente.
o	Análise de padrões de ausência dos professores: Identificando e abordando causas frequentes de faltas (exemplo: saúde, clima, etc.).
o	Planejamento estratégico de soluções (dentro da alçada da escola) para minimizar ausências e mitigar seus efeitos
o	Comunicação e articulação: Envolvendo professores e a equipe no planejamento para reduzir impactos das ausências.
o	Acionamento de instâncias superiores: Como reportar faltas recorrentes, demandas por professores ou outras situações que exigem intervenção externa.

Gerenciamento de recursos: 
o	Monitoramento de uso de recursos: Ferramentas para gerenciar e monitorar o uso dos materiais didáticos e espaços escolares.
o	Acionamento de instâncias superiores: Como requisitar materiais, resolver problemas estruturais ou reportar falhas que dependem da rede de ensino.


Proteção do tempo pedagógico: 
o	Como implementar estratégias sistemáticas e regulares para proteger o tempo pedagógico (minimizar interrupções no tempo de ensino)

Coordenação de Discussões Estruturadas com Professores:
o	Como coordenar discussões estruturadas com os professores para identificar problemas e sucessos no processo de implementação do ensino?
o	Como propor e implementar soluções rápidas para os desafios identificados nessas discussões?"
13;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Liderança Estratégica – Nível Avançar;3;16-30 (Avançar: 23-30);Parabéns! Você já se sente preparado(a) para liderar a organização da escola de maneira estratégica, promovendo ajustes na grade horária, gerenciando recursos de forma proativa e garantindo a regularidade das aulas. Você também se sente preparado(a) para implementar processos sistemáticos de monitoramento da frequência e assiduidade do corpo docente, antecipar demandas e soluções e coordenar discussões estruturadas com os professores. ;Para avançar, será essencial se preparar para criar uma cultura institucional sustentável, onde a equipe e a comunidade escolar compartilhem responsabilidades pela implementação do ensino. Isso inclui fortalecer seu preparo para engajar professores, estudantes e famílias, promovendo a autonomia da equipe e a colaboração em processos de monitoramento, planejamento e proteção do tempo pedagógico de forma sustentável e inovadora. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Cumprimento e ajustes no calendário e grade horária: 
o	Comunicação e envolvimento da comunidade escolar na (re)organização e monitoramento do tempo escolar.

Monitoramento da frequência e mitigação de ausências: 
o	Desenvolvimento de estratégias colaborativas para monitoramento e mitigação de ausências dos professores.

Gerenciamento de Recursos para Assegurar a Realização das Aulas
o	Como engajar a equipe e a comunidade na gestão compartilhada e sustentável dos recursos (ex.: rodízios para espaços).

Proteção do tempo pedagógico: 
Engajamento da comunidade na preservação do tempo pedagógico como valor institucional."
14;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Transformação Cultural – Nível Consolidar;4;31-36 (Consolidar: 31-36);Fantástico! Você já se sente preparado(a) para promover uma cultura de colaboração na implementação do ensino, engajando equipe, estudantes e famílias para garantir a implementação do processo de ensino e aprendizagem com qualidade. ;Para continuar evoluindo, será importante fortalecer seu preparo para garantir a sustentabilidade dessas práticas, promovendo a capacidade da equipe e o engajamento de toda a comunidade. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Cumprimento e ajustes no calendário e grade horária: 
o	Comunicação e envolvimento da comunidade escolar na (re)organização e monitoramento do tempo escolar.

Monitoramento da frequência e mitigação de ausências: 
o	Desenvolvimento de estratégias colaborativas para monitoramento e mitigação de ausências dos professores.

Gerenciamento de Recursos para Assegurar a Realização das Aulas
o	Como engajar a equipe e a comunidade na gestão compartilhada e sustentável dos recursos (ex.: rodízios para espaços).

Proteção do tempo pedagógico: 
o	Engajamento da comunidade na preservação do tempo pedagógico como valor institucional."
15;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;Sensibilização – Nível Consolidar;1;0-9 (Consolidar: 0-5);Você está construindo a base necessária para garantir o uso dos dados avaliativos como ferramentas importantes na gestão para aprendizagem!;Para consolidar este nível, você pode fortalecer o registro sistemático dos dados e começar a explorar como usá-los em discussões com a equipe escolar. Também será importante refletir mais sobre como as avaliações podem ser melhor conectadas ao planejamento pedagógico, incluindo o planejamento das ações de recomposição das aprendizagens. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"1.	Conceitos Fundamentais de Avaliação:
o	Diferenças entre avaliação externa e interna; somativa e formativa.
o	Potencial das avaliações para subsidiar o planejamento pedagógico, incluindo estratégias de recomposição das aprendizagens.

2.	Ciclo de uso dos dados de avaliação da aprendizagem:
o	Compreensão inicial das etapas de planejamento, aplicação, registro e organização de dados de avaliação de aprendizagem."
