rubrica;nivel;pontos_fortes;avancar;formativas;dimensao;subdimensao;arquivo_origem
Rubrica 3 - Liderança Estratégica;Avançar;Parabéns! Você já se sente preparado(a) para liderar a organização da escola de maneira estratégica, promovendo ajustes na grade horária, gerenciando recursos de forma proativa e garantindo a regularidade das aulas. Você também se sente preparado(a) para implementar processos sistemáticos de monitoramento da frequência e assiduidade do corpo docente, antecipar demandas e soluções e coordenar discussões estruturadas com os professores.;Para avançar, será essencial se preparar para criar uma cultura institucional sustentável, onde a equipe e a comunidade escolar compartilhem responsabilidades pela implementação do ensino. Isso inclui fortalecer seu preparo para engajar professores, estudantes e famílias, promovendo a autonomia da equipe e a colaboração em processos de monitoramento, planejamento e proteção do tempo pedagógico de forma sustentável e inovadora. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Cumprimento e ajustes no calendário e grade horária:**

*   Comunicação e envolvimento da comunidade escolar na (re)organização e monitoramento do tempo escolar.

1.  **Monitoramento da frequência e mitigação de ausências:**

*   Desenvolvimento de estratégias colaborativas para monitoramento e mitigação de ausências dos professores.

1.  **Gerenciamento de Recursos para Assegurar a Realização das Aulas**

*   Como engajar a equipe e a comunidade na gestão compartilhada e sustentável dos recursos (ex.: rodízios para espaços).

1.  **Proteção do tempo pedagógico:**

*   Engajamento da comunidade na preservação do tempo pedagógico como valor institucional.";pedag;implementacao;2_Devolutiva_dim_pedag_implementacao.md
Rubrica 4 - Transformação Cultural;Consolidar;Fantástico! Você já se sente preparado(a) para promover uma cultura de colaboração na implementação do ensino, engajando equipe, estudantes e famílias para garantir a implementação do processo de ensino e aprendizagem com qualidade.;Para continuar evoluindo, será importante fortalecer seu preparo para garantir a sustentabilidade dessas práticas, promovendo a capacidade da equipe e o engajamento de toda a comunidade. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Cumprimento e ajustes no calendário e grade horária:**

*   Comunicação e envolvimento da comunidade escolar na (re)organização e monitoramento do tempo escolar.

1.  **Monitoramento da frequência e mitigação de ausências:**

*   Desenvolvimento de estratégias colaborativas para monitoramento e mitigação de ausências dos professores.

1.  **Gerenciamento de Recursos para Assegurar a Realização das Aulas**

*   Como engajar a equipe e a comunidade na gestão compartilhada e sustentável dos recursos (ex.: rodízios para espaços).

1.  **Proteção do tempo pedagógico:**

*   Engajamento da comunidade na preservação do tempo pedagógico como valor institucional.";pedag;implementacao;2_Devolutiva_dim_pedag_implementacao.md
Rubrica 1 - Sensibilização;Consolidar;;;"Coleta e Registro de Dados relacionados ao Fluxo Escolar:

*   Introdução aos conceitos de fluxo, abandono, evasão e distorção idade-série: definição e cálculo.
*   Identificação de dados relevantes para o acompanhamento do fluxo escolar (frequência e nota).
*   Uso inicial de sistemas de registro formal disponibilizados pela rede.

Monitoramento da Frequência e do Fluxo Escolar:

*   Introdução à construção de rotinas para o monitoramento regular da Frequência e do Fluxo Escolar e planejamento de intervenções tempestivas";pedag;protecao;4_Devolutiva_dim_pedag_protecao.md
Rubrica 1 - Sensibilização;Avançar;;;"Monitoramento da Frequência e do Fluxo Escolar:

*   Construção de rotinas regulares para monitoramento dos indicadores de fluxo escolar (periodicidade de coleta e análise, responsáveis, ferramentas)

Diagnóstico dos Problemas de Fluxo Escolar:

*   O que compõe um diagnóstico e uso dados quantitativos e qualitativos.
*   Introdução às principais causas externas e internas de abandono e evasão escolar.
*   Cruzamento de dados quantitativos e qualitativos para identificar estudantes e grupos em risco de reprovação, abandono e evasão.

Suporte Psicossocial para Estudantes em Vulnerabilidade:

*   Identificação de situações de vulnerabilidade social e fatores de risco psicossocial.
*   Estrutura e funcionamento da rede de proteção social: saúde, assistência social e segurança.
*   Comunicação intersetorial: como acionar secretarias de educação e serviços externos.
*   Estratégias de busca ativa de estudantes evadidos, em parceria com a rede de proteção social.

Políticas e Programas da Rede para o Fluxo Escolar:

*   Conhecimento dos programas típicos da rede, como classes de aceleração, e o papel da liderança na adaptação ao contexto da escola.";pedag;protecao;4_Devolutiva_dim_pedag_protecao.md
Rubrica 2 - Exploração;Avançar;;;"Monitoramento da Frequência e do Fluxo Escolar

*   Definição de protocolos para intervenção tempestiva a partir dos dados de frequência, como ligações para as famílias após ausência identificada.

Fortalecimento do Vínculo com a Escola

*   Planejamento de práticas pedagógicas inclusivas e formação continuada da equipe pedagógica para lidar com a diversidade.
*   Desenvolvimento de iniciativas de protagonismo estudantil (por ex., grêmios e atividades que promovam o senso de pertencimento)
*   Estratégias para melhorar o clima escolar: valorização da diversidade e prevenção de bullying e discriminação.

Planejamento de Ações para o Fluxo Escolar

*   Estruturação do plano: definição de objetivos, estratégias, cronograma, responsáveis e indicadores de sucesso.
*   Métodos de facilitação de reuniões colaborativas.
*   Ferramentas de planejamento: planilhas e softwares de gestão de projetos.
*   Planejamento da recomposição das aprendizagens como estratégia de permanência

Monitoramento e Avaliação das Ações Planejadas

*   Ciclos de monitoramento e avaliação contínuos das ações do plano.
*   Liderança em processos de revisão e ajustes no plano de ação.";pedag;protecao;4_Devolutiva_dim_pedag_protecao.md
Rubrica 3 - Lideranças Estratégicas;Consolidar;;;"Diagnóstico e Planejamento de Ações para o Fluxo Escolar

*   Ferramentas e métodos de diagnóstico e planejamento participativo: reuniões e entrevistas com estudantes, famílias e professores.

Engajamento da Comunidade Escolar e das Famílias

*   Corresponsabilidade, engajamento e comunicação com as famílias: papel das famílias e da comunidade na permanência e conclusão escolas, Planejamento de reuniões regulares com famílias, dinâmicas de engajamento e uso de canais digitais para comunicação contínua.

Cultura de Sustentabilidade e Autonomia

*   Distribuição de lideranças e institucionalização de práticas de monitoramento e intervenção.";pedag;protecao;4_Devolutiva_dim_pedag_protecao.md
Rubrica 4 - Transformação Cultural;Consolidar;;;"Diagnóstico e Planejamento de Ações para o Fluxo Escolar

*   Ferramentas e métodos de diagnóstico e planejamento participativo: reuniões e entrevistas com estudantes, famílias e professores.

Engajamento da Comunidade Escolar e das Famílias

*   Corresponsabilidade, engajamento e comunicação com as famílias: papel das famílias e da comunidade na permanência e conclusão escolas, Planejamento de reuniões regulares com famílias, dinâmicas de engajamento e uso de canais digitais para comunicação contínua.

Cultura de Sustentabilidade e Autonomia

*   Distribuição de lideranças e institucionalização de práticas de monitoramento e intervenção.";pedag;protecao;4_Devolutiva_dim_pedag_protecao.md
Rubrica 1 - Sensibilização;Consolidar;Muito bem! Você já reconhece a importância do planejamento pedagógico e demonstra compromisso em viabilizar momentos e espaços para que ele aconteça. Está no caminho certo para desenvolver práticas fundamentais na gestão do planejamento escolar.;Antes de avançar, é necessário consolidar este nível. Para isso, será essencial estar preparado(a) para compreender mais profundamente o planejamento pedagógico, assegurar condições básicas para que os professores realizem seu planejamento e organizar rotinas e um calendário de planejamento ao longo do ano. Também será importante conhecer os fundamentos básicos da recomposição de aprendizagens. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Conceitos básicos de planejamento pedagógico**

*   O que o planejamento pedagógico e qual é sua importância?
*   O que contempla um planejamento pedagógico de qualidade? (pode incluir roteiros, exemplos etc.)

1.  **Etapas e calendário de planejamento**

*   Quais são as etapas do ciclo de planejamento?
*   Como elaborar um calendário e instituir rotinas de planejamento coletivo e individual ao longo do ano? (pode incluir ferramentas)

**Fundamentos conceituais e normativos da recomposição de aprendizagens**

Definição da recomposição das aprendizagens e sua diferença em relação à recuperação escolar.

Marco legal e normativo: Pacto Nacional pela Recomposição das Aprendizagens (MEC), diretrizes do CNE e normativas estaduais e municipais.";pedag;planejamento;1_Devolutiva_dim_pedag_planejamento.md
Rubrica 1 - Sensibilização;Avançar;Muito bem! Você já reconhece a importância do planejamento pedagógico e se sente preparado(a) para viabilizar momentos e espaços para sua realização. Você se percebe preparado(a) para assegurar que os professores elaborem e implementem suas propostas, evidenciando compromisso com o processo de planejamento pedagógico na escola.;Para avançar, será necessário estar preparado(a) para assumir um papel mais ativo de mediação, promovendo um planejamento pedagógico mais integrado e colaborativo, que dialogue com diagnósticos e objetivos institucionais**,** inclusive no que se refere à recomposição de aprendizagens. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Diagnóstico escolar para embasar o planejamento pedagógico**
    *   O que deve estar contemplado no diagnóstico para o planejamento? (diferença do diagnóstico mais amplo para PPP)
    *   Diagnóstico das necessidades dos estudantes (relação com o conhecimento escolar e níveis de aprendizagem)?
    *   Uso de avaliações externas e internas para diagnosticar a necessidade de recomposição das aprendizagens
2.  **Definição de objetivos de aprendizagem a partir dos parâmetros curriculares e diagnóstico da escola**
    *   Conhecimento dos parâmetros curriculares nacionais e locais (BNCC, currículo priorizado para recomposição de aprendizagens)
    *   Definição de objetivos de aprendizagem para o ano e desdobramento por bimestre/trimestre, a partir do estudo das diretrizes externas e da proposta e diagnóstico da escola, incluindo diretrizes sobre recomposição de aprendizagens.
3.  **Organização e mediação das reuniões de planejamento**
    *   Como organizar e facilitar reuniões de planejamento (participantes, objetivos, metodologias etc.)?";pedag;planejamento;1_Devolutiva_dim_pedag_planejamento.md
Rubrica 2 - Exploração;Consolidar;Ótimo! Você já se sente preparado(a) para assumir um papel ativo na mediação do planejamento pedagógico e para começar a alinhar esse processo às diretrizes institucionais e políticas educacionais.;Antes de avançar, será necessário fortalecer sua preparação para usar dados de aprendizagem dos estudantes de forma mais consistente como base para o planejamento pedagógico, inclusive para planejar ações de recomposição das aprendizagens. Além disso, será importante consolidar sua capacidade de mediar discussões com os professores sobre o alinhamento pedagógico. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Diagnóstico escolar para embasar o planejamento pedagógico**
    *   O que deve estar contemplado no diagnóstico para o planejamento? (diferença do diagnóstico mais amplo para PPP)
    *   Diagnóstico das necessidades dos estudantes (relação com o conhecimento escolar e níveis de aprendizagem)?
    *   Uso de avaliações externas e internas para diagnosticar a necessidade de recomposição das aprendizagens
2.  **Definição de objetivos de aprendizagem a partir dos parâmetros curriculares e diagnóstico da escola**

*   Conhecimento dos parâmetros curriculares nacionais (BNCC, currículo priorizado para recomposição de aprendizagens))
*   Definição de objetivos de aprendizagem para o ano e desdobramento por bimestre/trimestre, a partir do estudo das diretrizes externas e da proposta e diagnóstico da escola incluindo diretrizes sobre recomposição de aprendizagens.

1.  **Organização e mediação das reuniões de planejamento**

*   Como organizar e facilitar reuniões de planejamento (participantes, objetivos, metodologias etc.)?";pedag;planejamento;1_Devolutiva_dim_pedag_planejamento.md
Rubrica 2 - Exploração;Avançar;Parabéns! Você já se sente preparado(a) para desempenhar um papel ativo na mediação do planejamento pedagógico, garantindo que ele seja baseado em um diagnóstico de aprendizagem dos estudantes. Você se percebe preparado(a) para promover discussões importantes sobre o alinhamento do planejamento com as políticas educacionais e a proposta pedagógica da escola, além de monitorar se as ações estão sendo implementadas conforme planejado.;Para avançar, será fundamental estar preparado(a) para ampliar o escopo do diagnóstico, estruturar melhor as rotinas de monitoramento e replanejamento e fornecer apoio consistente aos professores, com diretrizes claras sobre o que deve conter no planejamento e devolutivas construtivas. Isso inclui estar preparado para continuamente avaliar e revisar as estratégias de recomposição das aprendizagens. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Diagnóstico escolar para embasar o planejamento pedagógico**
    *   Diagnóstico das práticas de ensino dos professores (sua capacidade de transpor os parâmetros curriculares em práticas efetivas de ensino e aprendizagem)
2.  **Planejamento das ações, responsáveis e recursos necessários**
    *   Conhecimento de estratégias didático-metodológicas para aprendizagem mais efetiva (metodologias ativas, aprendizagem por projetos, práticas de diferenciação e personalização do ensino)
    *   Elaboração de diretrizes para o planejamento macro das ações e para o seu desdobramento progressivo em planos de aula detalhados
    *   Conhecimento de estratégias específicas de recomposição das aprendizagens e diretrizes para sua integração ao planejamento pedagógico.
3.  **Suporte e devolutiva aos professores**
    *   Avaliação e devolutiva técnico/crítica do planejamento pedagógico dos professores (critérios de qualidade, roteiros de análise e devolutiva, técnicas de feedback do gestor e entre pares).
4.  **Monitoramento, avaliação e replanejamento**
    *   Monitoramento e avaliação dos resultados de aprendizagem e replanejamento
    *   Monitoramento da implementação das ações recomposição das aprendizagens e avaliação dos resultados";pedag;planejamento;1_Devolutiva_dim_pedag_planejamento.md
Rubrica 3 - Liderança Estratégica;Consolidar;Parabéns! Você já se sente preparado(a) para liderar o processo de planejamento pedagógico de forma consistente e estruturada, buscando o alinhamento entre o diagnóstico, a proposta da escola e as diretrizes externas.;Antes de avançar, será necessário fortalecer seu preparo para realizar diagnósticos das práticas pedagógicas dos professores e utilizá-los para embasar os objetivos e estratégias planejadas, incluindo as de recomposição das aprendizagens. Também será importante consolidar sua capacidade de orientar tecnicamente o planejamento, tornando as devolutivas aos professores mais consistentes e garantindo um acompanhamento sistemático dos resultados e seu uso no replanejamento. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Diagnóstico escolar para embasar o planejamento pedagógico**

*   Diagnóstico das práticas de ensino dos professores (sua capacidade de transpor os parâmetros curriculares em práticas efetivas de ensino e aprendizagem)

1.  **Planejamento das ações, responsáveis e recursos necessários**
    *   Conhecimento de estratégias didático-metodológicas para aprendizagem mais efetiva (metodologias ativas, aprendizagem por projetos, práticas de diferenciação e personalização do ensino)
    *   Elaboração de diretrizes para o planejamento macro das ações e para o seu desdobramento progressivo em planos de aula detalhados
    *   Conhecimento de estratégias específicas de recomposição das aprendizagens e diretrizes para sua integração ao planejamento pedagógico.
2.  **Suporte e devolutiva aos professores**

*   Avaliação e devolutiva técnico/crítica do planejamento pedagógico dos professores (critérios de qualidade, roteiros de análise e devolutiva, técnicas de feedback do gestor e entre pares).

1.  **Monitoramento, avaliação e replanejamento**

*   Monitoramento e avaliação dos resultados de aprendizagem e replanejamento
*   Monitoramento da implementação das ações recomposição das aprendizagens e avaliação dos resultados";pedag;planejamento;1_Devolutiva_dim_pedag_planejamento.md
Rubrica 3 - Liderança Estratégica;Avançar;Excelente trabalho! Você já se sente preparado(a) para liderar o planejamento pedagógico de forma consistente e estruturada, conectando o diagnóstico da aprendizagem e do ensino a objetivos e estratégias claras. Você se percebe preparado para assegurar o alinhamento com o PPP, a BNCC e outras políticas educacionais. Além disso, você se avalia capacitado(a) para instituir calendários e rotinas bem definidas para a elaboração, desdobramento e revisão do planejamento, fornecendo suporte técnico e devolutivas construtivas à equipe.;Para avançar, será necessário fortalecer o preparo para promover a autonomia da equipe e consolidar a interdisciplinaridade e a inovação como práticas autossustentáveis e sistemáticas, incluindo a incorporação da recomposição das aprendizagens como parte da cultura de planejamento da escola. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Interdisciplinariedade e práticas integradoras**
    *   O que é a interdisplinariedade?
    *   Práticas de promoção da interdisciplinariedade no planejamento coletivo.
2.  **Engajamento da comunidade e comunicação**
    *   Participação dos estudantes no planejamento pedagógico
    *   Papel das famílias e participação no planejamento pedagógico
    *   Comunicação eficaz do planejamento para a comunidade escolar
3.  **Distribuição da liderança e criação de uma cultura sustentável**
    *   Distribuição da liderança, definição de papeis, orientação e acompanhamento da equipe durante o processo de planejamento
4.  **Sensibilização e mobilização para recomposição das aprendizagens**

*   Comunicar a estudantes e famílias o que é recomposição e sua importância, diferenciando-a da recuperação escolar, sensibilizando a comunidade sobre a necessidade de abordar defasagens de anos anteriores sem estigmatizar os estudantes.
*   Como engajar toda a equipe escolar na corresponsabilidade pela recomposição (por exemplo, garantindo que não seja vista apenas como uma tarefa do professor de reforço.)";pedag;planejamento;1_Devolutiva_dim_pedag_planejamento.md
Rubrica 4 - Transformação cultural;Consolidar;Fantástico! Você já se sente preparado(a) para promover uma cultura escolar em que o planejamento pedagógico seja consistente, colaborativo, contínuo e sustentável. Você se percebe preparado para integrar os objetivos e estratégias pedagógicas com o diagnóstico da escola e as políticas educacionais, fortalecendo a interdisciplinaridade e a inovação. Além disso, você se avalia capacitado(a) para envolver professores, estudantes, famílias e demais atores escolares, criando um ambiente de engajamento e autonomia coletiva.;Embora este nível reflita uma atuação exemplar, é importante assegurar que as práticas sustentáveis e inovadoras continuem evoluindo em resposta às novas demandas educacionais e que a cultura escolar permaneça adaptável e aberta a mudanças futuras. O foco na distribuição da liderança e na criação de capacidade e autonomia da equipe continuará sendo fundamental nesse processo. Da mesma forma, continuará sendo importante a incorporação da recomposição das aprendizagens como parte da cultura de planejamento da escola. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Interdisciplinariedade e práticas integradoras**
    *   O que é a interdisplinariedade?
    *   Práticas de promoção da interdisciplinariedade no planejamento coletivo.
2.  **Engajamento da comunidade e comunicação**
    *   Participação dos estudantes no planejamento pedagógico
    *   Papel das famílias e participação no planejamento pedagógico
    *   Comunicação eficaz do planejamento para a comunidade escolar
3.  **Distribuição da liderança e criação de uma cultura sustentável**
    *   Distribuição da liderança, definição de papeis, orientação e acompanhamento da equipe durante o processo de planejamento
4.  **Sensibilização e mobilização para recomposição das aprendizagens**

*   Comunicar a estudantes e famílias o que é recomposição e sua importância, diferenciando-a da recuperação escolar, sensibilizando a comunidade sobre a necessidade de abordar defasagens de anos anteriores sem estigmatizar os estudantes.
*   Como engajar toda a equipe escolar na corresponsabilidade pela recomposição (por exemplo, garantindo que não seja vista apenas como uma tarefa do professor de reforço.)";pedag;planejamento;1_Devolutiva_dim_pedag_planejamento.md
Rubrica 1 - Sensibilização;Consolidar;;;"Fundamentos Conceituais e Legais da Convivência Escolar e Diversidade

*   Conceito de convivência escolar: Definições e princípios de convivência democrática, clima escolar e cultura de paz, e sua relação com a aprendizagem.
*   Conceitos de diversidade, inclusão, discriminação e estigmatização, destacando sua relevância no contexto escolar.
*   Compreensão das diferentes formas de violência e discriminação:
    *   Violências estruturais, como racismo, machismo, LGBTfobia, gordofobia e capacitismo.
    *   Outras formas de violência, como bullying e ciberagressões, e suas implicações no ambiente escolar.
*   Legislação e normativas relevantes: Conhecimento sobre marcos legais e políticas educacionais relacionadas à convivência escolar e à promoção da diversidade, como:
    *   O que diz LDB, ECA, PNE e outras normativas aplicáveis.
    *   Lei nº 10.639/2003 e Lei nº 11.645/2008: Obrigatoriedade do ensino de história e cultura afro-brasileira, africana e indígena no currículo escolar.
    *   Lei nº 13.185/2015: Institui o Programa de Combate à Intimidação Sistemática (bullying).
*   Programas e estratégias educacionais: Iniciativas do MEC e das redes de ensino voltadas à convivência democrática e à promoção da diversidade.
*   Comportamentos de Risco e Articulação com a Rede de Proteção Social
    *   Articulação com a rede de proteção social para encaminhamento e acompanhamento de casos.";pessoal;convivencia;6_Devolutiva_dim_pessoal_convivencia.md
Rubrica 1 - Sensibilização;Avançar;;;"Diagnóstico de Problemas de Convivência Escolar

*   Técnicas para identificar problemas de convivência escolar, utilizando dados qualitativos e quantitativos, além de métodos participativos.

Comportamentos de Risco e Articulação com a Rede de Proteção Social

*   *   Identificação de sinais de comportamentos de risco, como violência, bullying, uso de substâncias e autolesão.
    *   Conhecimento sobre fatores de proteção e estratégias preventivas no contexto escolar.

Criação e Gestão de Normas de Convivência

*   *   Métodos para liderar a construção coletiva de normas de convivência escolar.

Promoção de Ações Educativas para a Convivência

*   *   Metodologias educativas: Repertório de estratégias para planejar e implementar ações como projetos, rodas de conversa e campanhas sobre temas de convivência e inclusão.

Engajamento e Corresponsabilidade da Comunidade Escolar

*   *   Comunicação eficaz: Ferramentas e abordagens para manter um diálogo contínuo e significativo com a comunidade escolar sobre as normas e ações de convivência.";pessoal;convivencia;6_Devolutiva_dim_pessoal_convivencia.md
Rubrica 2 - Exploração;Avançar;;;"Planejamento de Ações para a Convivência Escolar

*   *   Estratégias para planejar ações estruturadas e integradas ao PPP e ao planejamento pedagógico, com definição de metas, cronogramas e indicadores.

Gestão de Conflitos e Justiça Restaurativa

*   *   Conceitos e metodologias de mediação de conflitos e justiça restaurativa.
    *   Aplicação de práticas de justiça restaurativa no contexto escolar (círculos restaurativos, mediação)

Promoção de Ações Educativas para a Convivência

*   *   Educação socioemocional: Fundamentos e estratégias para o desenvolvimento de competências socioemocionais, como empatia, autorregulação e trabalho em equipe.
    *   Articulação com o currículo e o PPP: Planejamento e implementação de ações educativas integradas ao planejamento pedagógico e alinhadas às políticas educacionais.

Formação Continuada para a Equipe Escolar

*   *   Práticas éticas, inclusivas e alinhadas ao PPP: Capacitação da equipe para adotar metodologias pedagógicas que promovam a inclusão, o desenvolvimento integral e o bem-estar dos estudantes.
    *   Planejamento e condução de formações: Métodos para organizar formações regulares, como oficinas e debates, alinhadas às necessidades da equipe e às metas pedagógicas da escola.

Engajamento e Corresponsabilidade da Comunidade Escolar

*   *   Participação e corresponsabilidade: Estratégias para engajar estudantes, famílias e educadores na construção de um ambiente escolar acolhedor e seguro.
*   Monitoramento e Avaliação de Práticas de Convivência Escolar
    *   Métodos e ferramentas de monitoramento e avaliação: Estratégias e instrumentos para acompanhar a implementação e os resultados das práticas de convivência escolar.
    *   Criação de indicadores: Definição e utilização de indicadores qualitativos e quantitativos para avaliar a eficácia das ações de convivência e orientar ajustes";pessoal;convivencia;6_Devolutiva_dim_pessoal_convivencia.md
Rubrica 3 - Liderança Estratégica;Consolidar;;;"Promoção de Ações Educativas para a Convivência

*   Garantia de práticas, espaços e materiais inclusivos e representativos: Ações para assegurar que práticas pedagógicas, espaços e materiais escolares reflitam e valorizem a diversidade de gênero, raça e outras identidades, garantindo representatividade e sendo livres de estereótipos.

Engajamento e Corresponsabilidade da Comunidade Escolar

*   Institucionalização: Métodos para formalizar normas e estratégias em documentos oficiais e registrar aprendizagens para promover uma cultura de convivência democrática.
*   Distribuição de liderança: Técnicas para delegar responsabilidades e envolver diferentes membros da equipe e da comunidade escolar na liderança das práticas de convivência, garantindo maior comprometimento e autonomia.";pessoal;convivencia;6_Devolutiva_dim_pessoal_convivencia.md
Rubrica 4 - Transformação cultural;Consolidar;;;"Promoção de Ações Educativas para a Convivência

*   Garantia de práticas, espaços e materiais inclusivos e representativos: Ações para assegurar que práticas pedagógicas, espaços e materiais escolares reflitam e valorizem a diversidade de gênero, raça e outras identidades, garantindo representatividade e sendo livres de estereótipos.

Engajamento e Corresponsabilidade da Comunidade Escolar

*   Institucionalização: Métodos para formalizar normas e estratégias em documentos oficiais e registrar aprendizagens para promover uma cultura de convivência democrática.
*   Distribuição de liderança: Técnicas para delegar responsabilidades e envolver diferentes membros da equipe e da comunidade escolar na liderança das práticas de convivência, garantindo maior comprometimento e autonomia.";pessoal;convivencia;6_Devolutiva_dim_pessoal_convivencia.md
